player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type
Moses Moody,moses moody,historical,2021,2021,2,exact_full_name,1630541.0,Moses Moody,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\moses_moody__1630541.png,downloaded,200.0,image/png
Neemias Queta,neemias queta,historical,2021,2021,1,exact_full_name,1629674.0,Neemias Queta,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629674.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\neemias_queta__1629674.png,downloaded,200.0,image/png
Quentin Grimes,quentin grimes,historical,2021,2021,1,exact_full_name,1629656.0,Quentin Grimes,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629656.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\quentin_grimes__1629656.png,downloaded,200.0,image/png
Rokas Jokubaitis,rokas jokubaitis,historical,2021,2021,1,unmatched,,,,,,unmatched,,
Scottie Barnes,scottie barnes,historical,2021,2021,1,exact_full_name,1630567.0,Scottie Barnes,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\scottie_barnes__1630567.png,downloaded,200.0,image/png
Sharife Cooper,sharife cooper,historical,2021,2021,1,exact_full_name,1630536.0,Sharife Cooper,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630536.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\sharife_cooper__1630536.png,downloaded,200.0,image/png
Tre Mann,tre mann,historical,2021,2021,1,exact_full_name,1630544.0,Tre Mann,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630544.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\tre_mann__1630544.png,downloaded,200.0,image/png
Trey Murphy III,trey murphy,historical,2021,2021,1,exact_full_name,1630530.0,Trey Murphy III,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\trey_murphy_iii__1630530.png,downloaded,200.0,image/png
Usman Garuba,usman garuba,historical,2021,2021,1,exact_full_name,1630586.0,Usman Garuba,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630586.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\usman_garuba__1630586.png,downloaded,200.0,image/png
Ziaire Williams,ziaire williams,historical,2021,2021,1,exact_full_name,1630533.0,Ziaire Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630533.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\ziaire_williams__1630533.png,downloaded,200.0,image/png
AJ Griffin,aj griffin,historical,2022,2022,2,exact_full_name,1631100.0,AJ Griffin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\aj_griffin__1631100.png,downloaded,200.0,image/png
Andrew Nembhard,andrew nembhard,historical,2022,2022,1,exact_full_name,1629614.0,Andrew Nembhard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\andrew_nembhard__1629614.png,downloaded,200.0,image/png
Bennedict Mathurin,bennedict mathurin,historical,2022,2022,1,exact_full_name,1631097.0,Bennedict Mathurin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\bennedict_mathurin__1631097.png,downloaded,200.0,image/png
Blake Wesley,blake wesley,historical,2022,2022,2,exact_full_name,1631104.0,Blake Wesley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631104.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\blake_wesley__1631104.png,downloaded,200.0,image/png
Bryce McGowens,bryce mcgowens,historical,2022,2022,1,exact_full_name,1631121.0,Bryce McGowens,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631121.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\bryce_mcgowens__1631121.png,downloaded,200.0,image/png
Caleb Houstan,caleb houstan,historical,2022,2022,1,exact_full_name,1631216.0,Caleb Houstan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631216.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\caleb_houstan__1631216.png,downloaded,200.0,image/png
Chet Holmgren,chet holmgren,historical,2022,2022,1,exact_full_name,1631096.0,Chet Holmgren,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\chet_holmgren__1631096.png,downloaded,200.0,image/png
Christian Braun,christian braun,historical,2022,2022,2,exact_full_name,1631128.0,Christian Braun,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631128.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\christian_braun__1631128.png,downloaded,200.0,image/png
Christian Koloko,christian koloko,historical,2022,2022,1,exact_full_name,1631132.0,Christian Koloko,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631132.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\christian_koloko__1631132.png,downloaded,200.0,image/png
Dalen Terry,dalen terry,historical,2022,2022,1,exact_full_name,1631207.0,Dalen Terry,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631207.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\dalen_terry__1631207.png,downloaded,200.0,image/png
